Rpm,Vibration,Temperature,Pressure,Condition,Reason
16741,2507,95,49,Bad,Your tyre is completely in bad condition
17735,1224,-30,41,Bad,High Pressure and High Vibration
18064,4592,78,54,Bad,High Pressure and High Vibration
14936,1721,-11,66,Bad,High Pressure and High Vibration
6318,4990,71,129,Bad,High Pressure and High Vibration
4568,3328,112,19,Bad,Tyre Bursting
8868,2802,50,65,Bad,High Pressure and High Vibration
14840,4103,120,70,Bad,Your tyre is completely in bad condition
16737,2040,107,46,Bad,Your tyre is completely in bad condition
2665,2472,41,129,Bad,High Pressure and High Vibration
13213,818,27,90,Bad,High pressure
3445,1279,-26,111,Bad,High Pressure and High Vibration
4115,4476,-34,51,Bad,High Pressure and High Vibration
3055,4596,-39,108,Bad,High Pressure and High Vibration
8607,679,-19,79,Bad,High pressure
7817,4213,15,56,Bad,High Pressure and High Vibration
5286,3555,36,95,Bad,High Pressure and High Vibration
9298,2019,119,32,Bad,Tyre Bursting
3522,4509,36,68,Bad,High Pressure and High Vibration
1351,4781,36,27,Bad,Low pressure
12573,4374,-23,28,Bad,Tyre wearout and Engine Failure
17075,1448,110,73,Bad,Your tyre is completely in bad condition
5650,2883,111,63,Bad,High Pressure and High Vibration
6740,4397,27,62,Bad,High Pressure and High Vibration
14498,913,-11,40,Bad,High pressure
18252,4800,99,104,Bad,Your tyre is completely in bad condition
6658,3407,79,26,Bad,Low pressure
15942,96,-14,111,Bad,High pressure
846,1677,32,73,Bad,High Pressure and High Vibration
17148,4777,103,69,Bad,Your tyre is completely in bad condition
14402,1927,88,91,Bad,High Pressure and High Vibration
12871,2499,8,20,Bad,Tyre wearout and Engine Failure
12624,4305,-14,122,Bad,High Pressure and High Vibration
8799,1969,67,129,Bad,High Pressure and High Vibration
5144,4113,53,103,Bad,High Pressure and High Vibration
9307,1298,-36,82,Bad,High Pressure and High Vibration
6540,2209,-3,102,Bad,High Pressure and High Vibration
9559,3921,-31,98,Bad,High Pressure and High Vibration
3066,3866,14,35,Bad,Low rpm
17217,449,113,122,Bad,RPM and Temperature are high
6734,768,12,129,Bad,High pressure
13042,3254,85,59,Bad,High Pressure and High Vibration
7639,2862,93,43,Bad,High Pressure and High Vibration
17935,845,67,127,Bad,High pressure
7625,1913,51,100,Bad,High Pressure and High Vibration
5833,3461,-30,124,Bad,High Pressure and High Vibration
289,361,60,22,Bad,Low pressure
7408,1963,17,129,Bad,High Pressure and High Vibration
3167,1647,-22,115,Bad,High Pressure and High Vibration
8125,3137,86,113,Bad,High Pressure and High Vibration
10946,869,41,62,Bad,High pressure
14001,1798,14,79,Bad,High Pressure and High Vibration
1884,4135,19,46,Bad,High Pressure and High Vibration
7775,646,16,86,Bad,High pressure
7817,1746,120,18,Bad,Tyre Bursting
5771,1408,61,80,Bad,High Pressure and High Vibration
13409,2951,28,48,Bad,High Pressure and High Vibration
11395,4187,-2,14,Bad,Tyre wearout and Engine Failure
1430,60,55,53,Bad,High pressure
9156,1839,-25,54,Bad,High Pressure and High Vibration
12188,4741,54,127,Bad,High Pressure and High Vibration
8355,2354,30,55,Bad,High Pressure and High Vibration
1402,1921,69,22,Bad,Low pressure
8136,2200,117,105,Bad,High Pressure and High Vibration
19601,1026,-17,53,Bad,High Pressure and High Vibration
6483,4360,48,45,Bad,High Pressure and High Vibration
13921,2068,13,91,Bad,High Pressure and High Vibration
15019,1033,46,88,Bad,High Pressure and High Vibration
